일자,시간,종가,전일대비,,시가,고가,저가,현물가,이론가,누적거래량,미결제약정
2018/06/01,0:00:00,312.55,▲,2.25,310.3,313.65,309.45,313.22,313.4,"166,981","257,855"
2018/05/31,0:00:00,310.3,▲,1.6,311,311.2,309.3,310.92,311.11,"167,068","263,739"
2018/05/30,0:00:00,308.7,▼,7.35,314.8,315,307.55,309.26,309.47,"280,393","262,405"
2018/05/29,0:00:00,316.05,▼,3.2,318.75,319.3,316.05,316.2,316.42,"153,806","241,569"
2018/05/28,0:00:00,319.25,▲,0.8,319.2,319.8,318.5,318.99,319.23,"119,111","238,366"
2018/05/25,0:00:00,318.45,▲,0.75,315.95,318.75,315.75,318.05,318.33,"144,518","238,877"
2018/05/24,0:00:00,317.7,▼,0.6,319,319.3,316.55,317.48,317.77,"147,441","233,346"
2018/05/23,0:00:00,318.3,▲,2.05,316.2,318.75,315.85,318.31,318.62,"146,188","236,159"
2018/05/21,0:00:00,316.25,▲,0.35,316.15,317.3,313.65,316.25,316.58,"148,887","232,262"
2018/05/18,0:00:00,315.9,▲,1.35,315.5,316,314.8,315.37,315.74,"98,653","233,121"
2018/05/17,0:00:00,314.55,▼,1.5,317.35,318.15,314.55,314.29,314.67,"146,279","233,955"
2018/05/16,0:00:00,316.05,▲,1.15,313.9,316.95,313.65,315.97,316.37,"161,004","235,495"
2018/05/15,0:00:00,314.9,▼,3.1,317.5,318.5,314.7,314.94,315.35,"140,499","234,158"
2018/05/14,0:00:00,318,▼,0.8,319.25,319.75,317.5,317.72,318.15,"117,739","227,635"
2018/05/11,0:00:00,318.8,▲,1.8,318.5,319.95,318,318.51,318.98,"146,508","227,654"
2018/05/10,0:00:00,317,▲,1.8,316.35,317.3,315.45,317.31,317.8,"190,338","230,425"
2018/05/09,0:00:00,315.2,,0,315.7,316.25,312.8,314.42,314.92,"231,314","231,559"
2018/05/08,0:00:00,315.2,▼,2.4,318.5,319.3,315.2,315.87,316.38,"174,969","229,809"
2018/05/04,0:00:00,317.6,▼,1.55,319.8,320.15,317.05,316.75,317.32,"184,217","229,207"
2018/05/03,0:00:00,319.15,▼,1.75,320.1,320.8,318.6,320.55,321.14,"146,526","232,818"
2018/05/02,0:00:00,320.9,▼,1.9,322.25,322.8,320.35,322.53,323.14,"133,689","235,216"
2018/04/30,0:00:00,322.8,▲,1.5,322.5,323.45,321.6,323.56,324.2,"109,013","237,928"
2018/04/27,0:00:00,321.3,▲,2.7,321.5,323.4,320.05,320.8,321.48,"203,423","238,840"
2018/04/26,0:00:00,318.6,▲,4.5,315.3,319.5,315.1,318.08,318.77,"211,993","234,851"
2018/04/25,0:00:00,314.1,▼,2.4,314,314.75,312.65,313.99,314.68,"187,043","230,324"
2018/04/24,0:00:00,316.5,▼,1.75,318.7,318.8,314.9,315.86,316.57,"192,991","235,170"
2018/04/23,0:00:00,318.25,▲,0.2,317.7,318.8,317.1,317.89,318.62,"140,449","240,105"
2018/04/20,0:00:00,318.05,▼,2.1,318.5,319.8,318,317.89,318.66,"149,177","239,871"
2018/04/19,0:00:00,320.15,▲,1.4,320,321.2,319.2,320.12,320.91,"134,809","242,374"
2018/04/18,0:00:00,318.75,▲,3.2,317.3,319.95,317.1,318.64,319.45,"173,769","237,935"
2018/04/17,0:00:00,315.55,▲,0.1,315.8,316.95,314.7,314.64,315.45,"145,455","234,425"
2018/04/16,0:00:00,315.45,▼,0.15,317.15,317.4,314.75,315.17,316,"147,320","233,884"
2018/04/13,0:00:00,315.6,▲,2.7,314.3,315.95,313.85,314.86,315.73,"161,696","232,574"
2018/04/12,0:00:00,312.9,▼,0.7,314.75,315.35,312.85,313.22,314.1,"230,498","234,738"
2018/04/11,0:00:00,313.6,▼,1,314.85,315.85,313.2,312.94,313.83,"185,179","231,736"
2018/04/10,0:00:00,314.6,▲,0.5,313,315.5,310.3,313.94,314.85,"257,110","232,410"
